Bucky Hussain,,,,,,BuckyHussain.jpg,,,"Bucky is an Analyst with Google APAC, where he leads Strategy and Operations for the Business Development team. His work involves designing and implementing programs, frameworks and operating models to improve efficiency for Google and it's customers. 

Bucky's past experiences are extensive. After a stint in technology executive search, he moved to the technology sector and ramped up Airbnb's APAC operations as an early employee - first by blitz-scaling hiring, then by running the APAC strategy function from the regional headquarters. He was also the lead faculty for Airbnb's APAC Data University. He also previously led product management at local start-up EngageRocket. 

Outside of work, Bucky is a leader in Google's music and running communities, runs the instagram page @craftysingaporean, cooks italian food for his wife and is dad to an 18 month old boy and 4 year old dog.",,,"Analyst, APAC Business Development",Google,National University of Singapore,Environmental Biology
Charlene Wong,,,,,,CharleneWong.jpg,,,"Charlene Wong serves as the school counsellor of Hwa Chong Institution (HCI). Previously, she became a researcher at a voluntary welfare organisation fresh out of university having attained a Bachelor of Arts in Psychology from University at Buffalo, New York. She made the big decision of career switch after three years even though things were going on track well. This is driven by her desire to generate more impact – impacts made directly to beneficiaries – as part of her work. To do so, she went back to school to pursue a Masters of Arts in Counselling & Guidance at Nanyang Technological University before becoming a practitioner in HCI. She is now having the time of her life working with students and youths. She is extremely happy where she is now and is blessed to be able to brave 7.30 am days without grouchiness. Charlene thinks that she would not have envisioned herself to be doing what she is doing now back when she was a teenager. It has been a mixture of trials and errors but she has no regrets. She hopes to help today’s youth find their path and fulfil their potential.",,,School Counsellor,Hwa Chong Institution,Nanyang Technological University,Counselling & Guidance
Cherilyn Woo,,,,,,CherilynWoo.jpg,,,"Cherilyn is a freelance theatre stage director and writer. Directing plays, musicals and opera, she is interested in developing new work either inspired by literary classics or re-inventing them for the contemporary audience. Working across different forms of performing arts as well as different languages, Cherilyn hopes to spread the love of storytelling and rap music through her work. As many of her great teachers have gently encouraged her to chase her passion, she has been inspired to help others who are interested in pursuing the arts as well.",,,Freelance Theatre Stage Director and Writer,-,Goldsmiths (LASALLE College of the Arts),Theatre and Performance
Chirag Agarwal,,,,,,ChiragAgarwal.jpg,,,"Chirag Agarwal is currently an Associate at Vriens & Partners (V&P), where he advises clients on political and regulatory risks and helps them align their business objectives with the Singapore Government's policy goals. He also supports and coordinates client work across the region by working closely with V&P local offices across Southeast Asia. Previously, he was a Management Consultant at KPMG Australia in the Government Advisory team and was a diplomat with the Foreign Ministry in Singapore. Chirag has always enjoyed trying to make a dent in addressing difficult public policy challenges. He enjoys writing and has written op-eds on a wide range of socio-political issues that have been published by TODAY, The Straits Times, Institute of Policy Studies (IPS), The Diplomat Magazine and the South China Morning Post. ",,,Associate,Vriens & Partners,University of Melbourne,Public Policy and Management
Christopher Chok,,,,,,ChristopherChok.jpg,,,"Christopher Chok serves as a Learning and Development Specialist at the Learning Futures Group, Civil Service College. He works at the intersection of futures scenario planning, evaluation and analytics, learning and development, and innovation in adult learning experiences for the Singapore Public Service. He is deeply passionate about andragogy and pedagogy, and finds his deepest sense of purpose in helping others unlock and achieve their fullest potential. He was formally a curriculum designer at McKinsey’s Social Initiative: Generation, and prior to that, taught History at the secondary and junior college levels for four years. Christopher graduated from the University Scholars Programme (USP) at the National University of Singapore (NUS) with a Joint Bachelor of Arts (Honours) in History awarded by NUS and the University of North Carolina at Chapel Hill. He also holds a Postgraduate Diploma in Education from Nanyang Technological University and was awarded the British Foreign and Commonwealth Office’s Chevening Scholarship in 2018 to read Religious Studies at Durham University where he graduated with a Master of Arts (Distinction).",,,Learning and Development Specialist,Civil Service College,Durham University,Religious Studies
Chua Zihao,,,,,,ZihaoChua.jpg,,,"Chua Zihao is a Senior Consultant at Kincentric Singapore, where he is involved in client solutions and development with an international client pool based in countries including Singapore, Hong Kong, Indonesia and Vietnam. He has many years of experience in the Human Resources (HR) sector, particularly in the areas of Human Capital Strategy, Employee Engagement, Talent Management and Leadership Development, HR Effectiveness and Change Management. Prior to his current role, Zihao worked in Aon for over 5 years, where his client base included STI Listed Organisations, public sector Organisations and SMEs. These industries ranged from financial services, healthcare, to hospitality and education. Zihao is also a Professional Singapore Certified Management Consultant in Branding and Marketing and Human Capital Development. He graduated from the Singapore Management University (SMU) with a Bachelor of Science (Economics) and a second major in Strategic Management (Entrepreneurship). ",,,Senior Consultant,Kincentric,Singapore Management University,Economics and Strategic Management (Entrepreneurship)
Clara Chen,,,,,,ClaraChen.jpg,,,"Clara Chen is an Innovation Lead at XNode in Singapore, where she heads the operations of the Singapore office, including managing relationships with key partners and leading the execution of start-up, corporate innovation and venture building programmes. She has accumulated more than 15 years of experience launching and scaling new businesses across Southeast Asia and Latin America. Additionally, Clara has dedicated the first half of her career to launching new digital business units for media networks such as Channel NewsAsia, Viacom and Fox, and the next half building two MarTech start-ups to help the marketing industry automate the influencer marketing workflow, one of which was acqui-hired. The favourite part of her journey is building a cohesive and connected team of 35 members scattered across 10 countries. Clara has spoken at multiple digital industry events such as Echelon Asia Summit and ad:tech ASEAN. In 2014, she received an award from Nanyang Technological University to thank her for her contributions to the entrepreneurship ecosystem. She holds a Bachelor's degree in Marketing Management from Northumbria University, and has several other certifications including Contract Law, Behavioural Economics and Design Thinking. ",,,Innovation Lead,XNode,Northumbria University,Bachelor's degree in Marketing Management 
Clarence Lee,,,,,,ClarenceLee.jpg,,,"Clarence is the founder and director of Supernormal, a design and build workshop based in Singapore that solely focuses on passion projects. Prior to this, he has briefly worked for the Master Architect Guz Wilkinson, and the President Design Award Recipient, Dr Colin K. Okashimo. He was also the design partner at a local carpentry workshop, where he designed 35 over projects with a total combined budget of 3 million over the course of 2 years. Two of his projects have been featured on Squarerooms. He is also a 2014 University of Berkeley Travel Fellowship recipient. On the side, he is an avid tea drinker and is currently working on a way to digitise the renovation process to make it simpler, more transparent and affordable for people.",,,Founder & Director,Supernormal,Unitec Institute of Technology (New Zealand),Architectural Studies
Dalal AlGhawas,,,,,,DalalAlGhawas.jpg,,,"Dalal AlGhawas is a Programme Director at Big Idea Ventures, a venture capital firm which invests in the best companies in the plant-based foods and alternative protein ecosystem. She helps to combine capital and partnership to support and grow the world’s most compelling plant-based food companies and protein alternatives. Prior to her current role, she worked as a Programme Manager at Brinc.io, a venture capital firm which accelerates companies working to develop plant-based alternatives to meat, seafood & dairy. An expert in clinical and animal research, diagnostics and public health, Dalal helped to establish the first food technology accelerator program in Hong Kong, working with over fifteen global food technology startups, with special focus on plant-based protein alternatives, cell-ag, sustainability, smart kitchen equipment and software. She holds a Doctor of Philosophy (Food Science and Technology) from the University of Hong Kong.",,,Programme Director ,Big Idea Ventures,University of Hong Kong,Food Science and Technology
Daniel Loh,,,,,,DanielLoh.jpg,,,"Daniel Loh is the Head of Strategy (Asia) at Marsh, a global leader in insurance broking and risk management that helps clients to quantify and manage risk, as well as unlock new opportunities for growth. In this role, he is responsible for strategic planning, programme management and execution discipline, as well as mergers and acquisitions (M&A) analysis and due diligence across the region. Prior to joining Marsh, Daniel had a stint as an executive at the Jardine Matheson Group in both Hong Kong and Singapore and was most recently the Chief Financial Officer (Hong Kong) for Jardine Lloyd Thompson. His experience has spanned across strategy, finance, client and market relationship management, and operational excellence. Daniel holds a Bachelor of Arts (Philosophy, Politics and Economics) from the University of Oxford, where he graduated with First Class Honours. ",,,Head of Strategy (Asia),Marsh,University of Oxford,"Philosophy, Politics and Economics"
Daryl Gay,,,,,,DarylGay.jpg,,,"Daryl Gay is a Scholarships Manager in the Recruitment Division of the Singapore Police Force. A civil servant with at least 5 years of experience in policy development and talent acquisition, with a keen interest in social policy and impact, he is highly experienced in supporting inter-agency and cross-functional workgroups that have achieved several awards such as the Commissioner of Police Commendation Award and Municipal Services Award. Prior to his current endeavours, Daryl has also served as Ops Officer in the Community Warden Programme at the Singapore Police Force. Passionate about people and organisational development, he has also held secondary appointments as Organisational Health Programme Activist and Unit Morale Sensing Team member, amidst other distinctions. Daryl holds a Bachelor of Science (Life Sciences) from the National University of Singapore. In addition, he strongly believes in giving back to society through volunteering and co-chaired an organising committee for the MINDS Youth Group Sports Day in 2017 for 300 trainees to promote an active lifestyle and social inclusion for PWIDs. Daryl also enjoys connecting with people, sharing his experiences and helping them find the path best suited for them. ",,,Scholarships Manager,Singapore Police Force,National University of Singapore,Life Sciences
David Hoe,,,,,,DavidHoe.jpg,,,"David Hoe is currently a Community Partnerships Officer at the UPLIFT Programme Office with the Ministry of Education. Previously, he was one of the pioneer educators at Eunoia Junior College where he taught Economics and served as Deputy Head (understudy) for Student Leadership and Talent Management. Beyond his day job, David is also the founder of a few social empowerment programmes. One of these programmes is I Am Talented, which seeks to help every youth discover their talents beyond the traditional academic path. Most recetly, he started Project Stable Staples to tide large familiies residing in rental communities during the COVID-19 pandemic. David has taken the road less travelled and is fully aware that achieving his dream of becoming an educator was not forged by his sheer effort alone, but by standing on the shoulders of many giants. ",,,"Community Partnerships Officer, UPLIFT Programme Office",Ministry of Education ,Singapore Management University,Applied Economics
David Tay,,,,,,DavidTay.jpg,,,"David Tay is the Director, Innovation Strategy and Engagement at Visa Worldwide, where he leads innovation engagements with Visa's largest clients and strategic partners across the Asia Pacific region to create innovative payment/commerce experiences, increase user engagement, and drive preference for Visa products and solutions. Prior to his experience at Visa, David served as a Loyalty Marketing Executive at the Singapore Airlines, notably managing the largest portfolio of partners who have a stake in Singapore Airlines' KrisFlyer programme, among other distinctions in the field. David faced many obstacles while he was schooling, and eventually attended a private institution to pursue his degree. Having been a beneficiary of community programmes growing up, he strongly believes in paying it forward and giving back. David is dedicated to creating meaningful impact through building relationships with individuals to truly understand their challenges, and to foster bonds that last. He also holds a Master of Science (Management) from the Imperial College of London.",,,"Director, Innovation Strategy & Engagement",Visa Worldwide,Imperial College London,Management
Devesh Narayanan,,,,,,DeveshNarayanan.jpg,,,"Devesh Narayanan is a research assistant at the Lee Kuan Yew Centre for Innovative Cities (LKYCIC), Singapore University of Technology and Design. The LKYCIC seeks to stimulate thinking and research on the critical issues of cities and urbanisation, and explore the integrated use of technology, design and policy to provide urban solutions. His work chiefly involves the research on the future of work – the forces that create and reify changes to how we work, and how to think about these futures with clarity. Devesh is trained in both Engineering and Philosophy, and he looks at political and moral issues related to technology and society. He is concurrently a part-time Master of Arts student at National University of Singapore in Philosophy, where he focuses on AI ethics.",,,Research Assistant,Lee Kuan Yew Centre for Innovative Cities at Singapore University of Technology and Design,National University of Singapore,Mechanical Engineering and Philosophy
Elson Ong,,,,,,ElsonOng.jpg,,,"Elson Ong is currently a Senior Analyst in the Corporate Treasury Division in Goldman Sachs. His work involves understanding the underlying liquidity needs and funding profiles for different businesses across the firm. He is currently based in Hong Kong. Prior to that, Elson worked as a Treasury Product Controller under the Finance Division. Before joining Goldman Sachs, he also interned with the Economic Development Board of Singapore and spent a summer in New York as a Marketing and PR intern with Marc Fisher Footwear. Elson understands the difficulties in navigating life after graduation and hopes that sharing his experience can help students facing a similar situation. He graduated from Yale-NUS College with a Bachelor of Arts (Hons), majoring in Urban Studies.",,,"Senior Analyst, Corporate Treasury",Goldman Sachs,Yale-NUS College,Urban Studies
Gabriel Low,,,,,,GabrielLow.jpg,,,"Gabriel Low is a Talent Acquisition Associate at Shopee. With experience in the full spectrum of the recruitment cycle in areas including consulting and in-house recruiting environments, Gabriel has been involved in identifying potential talent for both technical and non-technical professions and has helped individuals successfully transition to their next career step. With an accumulated experience interacting with individuals from diverse industries and allocating them to various organisations, Gabriel hopes to share crucial and elusive insights on the job market with recent or impending graduates, as well as offer help for career profiling and career guidance. In addition, Gabriel holds an Honours Degree in Economics from the National University of Singapore.  ",,,Talent Acquisition Associate,Shopee,National University of Singapore,Economics
Gail Tay,,,,,,GailTay.jpg,,,"Gail Tay is a classically trained musician with more than 10 years of experience as a music educator. She is currently the Assistant Musical Director at LASALLE College of the Arts, where she works with students and industry professionals to initiate and deliver artistic productions spanning multiple academic departments and programmes. As a music educator, Gail works with a range of students – from children to young adults – within a pedagogical framework designed to engage the intellectual, creative, and emotional aspects of learning music. She also collaborates extensively with fellow musicians and is a regular performer at public concerts at the Esplanade. Gail obtained her Bachelor of Arts (Hons) Music from Goldsmiths, University of London. ",,,Assistant Musical Director,LASALLE College of the Arts,"Goldsmiths, University of London",Music
Galven Lee,,,,,,GalvenLee.jpg,,,"Galven Lee is an Innovation Manager at Bridge Alliance, a leading mobile alliance representing various telcos in the Asia Pacific region, where he is involved in launching and scaling tourism, data insights and blockchain products across a consumer base of over 800 million subscribers within the region. He is also the Co-Founder and Director of Sound of Art, an online-to-offline platform that pioneers a global marketplace for promoting artists of faith-inspired art. Beyond his career, Galven is passionate about issues surrounding innovation, entrepreneurship and faith. With a keen interest in research on contemporary Christianity in Singapore, Galven was the author of the book Charismatic Movement, Unfolding His Story – which was published in 2015. He also enjoys connecting with people and ideas to derive insights and create new possibilities.",,,Innovation Manager,Bridge Alliance,National University of Singapore and The Australian National University,History
George Lee,,,,,,GeorgeLee.jpg,,,"George Lee is the Director, Strategy and Business Development at OneConnect Financial Technology. In his role, he works closely with the Product and IT teams to determine product direction. He also engages with banks, insurers, other non-bank financial institutions in Singapore and Malaysia to introduce and implement OneConnect’s technology solutions. He was previously a Project Leader at The Boston Consulting Group (BCG) and had project experience in Singapore, Malaysia, Indonesia, the Philippines, the United Kingdom and the Netherlands. He spent most of his time at BCG working with financial institutions but also did projects in private equity and transportation. As a student not that long ago, he interned with Singapore’s Ministry of Trade and Industry, GIC Asset Management, and UNESCO – clearly demonstrating he started with no idea what he wanted to do. He likes random conversations over coffee and is generally curious on most topics.",,,"Director, Strategy and Business Development",OneConnect Financial Technology,Singapore Management University,Economics and Finance
Ghim Song Goh,,,,,,GhimSongGoh.jpg,,,"Ghim Song Goh serves as the Lead Production Specialist at Shell. As the team lead of three specialists with interface across all production shift teams, he drives operational excellence and ensures safe, reliable, profitable operations across multiple production units including crude distillation, hydro-processing and platforming.  Ghim Song is an experienced chemical engineer with a demonstrated history of working in the oil and energy industry. He is skilled in petroleum, refining, hydro-processing, process safety and energy efficiency. He graduated with a Bachelor’s Degree in Engineering from the National University of Singapore.",,,Lead Production Specialist,Shell,National University of Singapore,Engineering
Gwen Ching,,,,,,GwenChing.jpg,,,"Gwen Ching is a Development Partner at Enterprise Singapore working on building a more vibrant start-up ecosystem in Singapore. She is passionate about ground-up community-building initiatives and worked closely with JTC to manage LaunchPad @ One-North, the leading start-up hub in Asia. Gwen has keen interests in an innovation-driven economy – the key to economic growth and job creation. Last year, she has also implemented corporate innovation deal-making for SLINGSHOT 2019 and successfully partnered 18 corporates for problem statements. Prior to this, she spent two years in the National Parks Board (NParks). Gwen holds an undergraduate degree in Sociology from the National University of Singapore. If she's not working, she spends time with her furkid and learns coding programmes.",,,Development Partner,Enterprise Singapore,National University of Singapore,Sociology
Han Zhong Liang,,,,,,ZhongLiangHan.jpg,,,"Han Zhong Liang works as a Global Graduate Analyst at HSBC. Under the HSBC's flagship leadership development program, he gains cross-franchise expertise with 4 rotations across different business functions. With a strong passion in Financial Markets and Investments, Zhong Liang is growing a career in the Asset and Wealth Management space. As a firm believer of big data, he is exploring ways to incorporate analytics into his day-to-day tasks. His ultimate goal is to be a finance professional with a core strength in data science. Zhong Liang is often invited to provide insights into the finance industry to aspiring bankers and share his experiences, both as an active alumni mentor at NTU and through networking events in local universities. He also contributes actively to many Diversity & Inclusion initiatives, particularly within the LGBT+ community. Zhong Liang graduated from Nanyang Business School with a Bachelor of Business (Banking & Finance) and was the Valedictorian of the Class of 2019. Aside from juggling a myriad of school commitments back in university, he also secured an extensive list of local and overseas internships in reputable financial institutions (HSBC, BNP Paribas and OCBC) and consulting firms (BayCurrent Consulting Japan and PeopleSearch).",,,Global Graduate Analyst,HSBC,Nanyang Business School,Business
Hans Canggadibrata,,,,,,HansCanggadibrata.jpg,,,"Hans Canggadibrata is currently an Engagement Manager at Oliver Wyman, a global management consulting firm. Hans specializes in Corporate, Investment Banking and Corporate Finance space across a wide range of topics including strategy, transformation, commercial due diligence and value creation. He has 8 years of extensive experience in management consulting and banking, closely working with large corporates, financial institutions and government bodies on their complex strategic issues and decision making. Prior to joining Oliver Wyman, Hans was a corporate and transaction banker at Deutsche Bank based out of London and Singapore. Hans is a CFA charterholder and completed Executive Leadership at Wharton and INSEAD. Hans obtained his Bachelor's degree in Computer Science and Business from the National University of Singapore.",,,Engagement Manager,Oliver Wyman,National University of Singapore,Computer Science and Business
Hardi Mohamed,,,,,,HardiMohamed.jpg,,,"Mohamed Hardi is the Director and Chief Information Officer of the National Heritage Board, where he leads the digitalisation and digital transformation efforts for Singapore’s heritage sector within the public service. In the past 11 years of his career, Hardi had led multiple successful digital initiatives such as the Ministry of National Development’s OneService@SG, Kill-The-Q – a startup supported by GovTech and Temasek Polytechnic which was mentioned in Singapore’s Committee of Supply Speech 2019, and managing 2 of GovTech’s largest Whole-of-Government IT infrastructure programmes. Prior to joining the public service, Hardi has held senior management positions within the global travel outsourcing and infocomm industry, managing global operations and overall systems for the Asia Pacific and Middle Eastern regions. Some of the projects he contributed include, the first “follow the sun” call centre operation supporting 11 countries across Asia Pacific and introducing automated self-travel booking tools on mobile platforms within the region. Hardi continues to contribute to the Singapore infocomm industry as a social entrepreneur and industry mentor focusing on helping start-ups succeed in the infocomm space as part of the National University Alumni and the Singapore Centre for Social Enterprise (raiSE). Hardi also strongly supports Community Volunteering Programmes centred on improving the lives of under privileged students and families through infocomm technologies.",,,Director and Chief Information Officer,National Heritage Board,Singapore University of Social Sciences,Human Capital Management
Hassan Cader,,,,,,HassanCader.jpg,,,"Hassan Abdul Cader is a Technical Services Manager at ATR with a demonstrated history of working in the aviation and aerospace industry. He began his career in the aviation industry as a licensed aircraft engineer in SIA Engineering Co, and has also worked in various organisations such as SIAEC, Emirates Airline (Dubai), Jetstar Asia (Singapore), Flynas (Saudi Arabia), Fokker Sevices (Singapore) and ATR (Singapore). Hassan is skilled in line maintenance, aircraft systems, AOG, Management, and Teamwork. He graduated from Nanyang Technological University with a Bachelor’s in Mechanical Engineering and a Master’s in Mechanical Engineering.",,,Technical Services Manager,ATR,Nanyang Technological University,Mechanical Engineering
Ho Khek Heong,,,,,,KhekHeongHo.jpg,,,"Ho Khek Heong is the Director of Customer Solutions in the Asia Pacific Region at SAP, a European multinational software corporation that makes enterprise software to manage business operations and customer relations, responsible for sales revenue through the sale of the SAP Digital Interconnect Solutions and Services. Prior to his current role, he was Director of Sales responsible for sales of the SAP Mobile Services as well as the development of long-term relationships and account plans in Singapore, Philippines and Pakistan, among other responsibilities in his role. Before he joined SAP, Khek Heong has also held numerous positions in various telecommunication firms, notably serving as the Regional Sales Director at Tata Communications, where he was responsible for the sales of Tata Communication’s Wholesale Data & Mobility Services. In his 20 years with the telecommunications industry, he has accumulated extensive experience in International Interworking & Roaming services and developed his career over the years as a Sales Professional. Khek Heong has been blessed to have been mentored by a few mentors who helped him in the early days of his career. Thus, he hopes to be able to share his experiences with young Singaporeans and to help them meet their aspirations and build successful careers. Khek Heong holds a Master of Science (Marketing and Consumer Insights) from the Nanyang Technological University.",,,"Director, Customer Solutions",SAP,Nanyang Technological University,Marketing and Consumer Insights
Ian Ng,,,,,,IanNg.jpg,,,"Ian Ng is a Talent Management and Employee Experience Consultant at Kincentric, where he is involved in meeting the needs of clients from fields spanning Human Resource, Organisational Development and Talent Management. Prior to his current role, Ian was an intern at the Organisational Development branch of the Public Service Division and subsequently interned at Aon. As a young working professional, Ian was blessed to have received guidance from mentors who were heavily invested in his personal and professional development. He believes that mentorship is critical for all young working adult and student and looks forward to offering his guidance to others.",,,Associate Consultant (Talent Management and Employee Experience),Kincentric,Singapore Management University,Political Science
Jacelyn Tan,,,,,,JacelynTan.jpg,,,"Jacelyn Tan is a Regional Director at Viventis Search Asia, a regional Human Capital Solutions company which partners with business and HR leaders to deploy innovative and best-in-class solutions to solve business challenges such as hiring, talent management, retention and succession planning. On the side, she also partners with business leaders, executives and entrepreneurs to grow their personal and professional brands. Prior to her current endeavours, Jacelyn has had stints at LinkedIn and Sixsuns Brand & Marketing Consultancy. With more than 15 years of experience in sales and marketing, she believes that it is all about how well one connects with their audience and articulates their value propositions to them. Jacelyn holds a Bachelor of Arts (Communication and Media Studies) from Monash University. In her free time, she also provides pro-bono advice to students and young professionals.",,,Regional Director,Viventis Search Asia,Monash University,Communications and Media Studies
